X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1748520.758,5428670.999,552633,,572900,0,0,0,2,0,South,2021/2022,WELLINGTON URBAN MOTORWAY,THE TERRACE OFF RAMP,,Non-Injury Crash,Yes,2021,0,South,0,0,0,Flat,0,,0,,0,Bright sun,2122100,0,0,0,4,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,2,0,0,0,80,0,Off,0,1,,47,Wellington City,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1794395.547,5819798.825,552634,,528405,0,0,0,1,0,North,2021/2022,BURBUSH ROAD,EXELBY ROAD,,Serious Crash,No,2021,0,North,0,0,0,Hill Road,0,,0,,0,Overcast,977100,4,0,0,2,0,0,0,0,0,,0,1,Waikato Region,Nil,2-way,Sealed,0,0,1,0,80,0,None,0,0,,16,Hamilton City,Nil,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1877758.796,5818658.158,552635,,537900,0,,0,2,,Null,2021/2022,POIKE ROAD,WAIMAPU PA ROAD,,Non-Injury Crash,No,2021,,East,,0,,Hill Road,,,,,,Dark,1179503,0,0,0,3,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,23,Tauranga City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1762175.404,5908078.988,552637,,524530,0,0,0,3,0,Null,2020/2021,TENNESSEE AVENUE,WICKMAN WAY,,Non-Injury Crash,No,2021,0,East,0,0,0,Flat,0,,0,,0,Dark,734202,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1772249.843,5576572.05,552638,,556400,0,0,0,1,1,West,2020/2021,HARPER STREET,SWISS AVENUE,,Non-Injury Crash,No,2021,0,South,0,0,0,Flat,0,,0,,0,Twilight,1716900,0,0,0,2,0,0,0,0,0,,0,0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,37,Whanganui District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1745153.853,5919765.566,552639,,513301,0,,0,2,,East,2020/2021,UNIVERSAL DRIVE,TUDOR ROAD,,Non-Injury Crash,No,2021,,West,,0,,Flat,,,,,,Dark,232001,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1406854.299,4917489.931,552640,,603602,0,,0,2,,Null,2021/2022,GOWLAND STREET,FREDERICK STREET,,Non-Injury Crash,Yes,2021,,South,,0,,Flat,,,,,,Dark,2868500,0,0,0,2,,,0,,,,,,Otago Region,Nil,1-way,Sealed,,0,0,,50,,On,0,0,,71,Dunedin City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1877276.015,5820578.475,552641,,537700,0,0,0,2,0,Null,2020/2021,FRASER STREET,MERIVALE ROAD,,Non-Injury Crash,No,2021,0,South,0,0,0,Flat,0,,0,,0,Bright sun,1173000,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,23,Tauranga City,Give way,1,0,0,0,0,0,Urban,0,0,0,Fine,Null
1768468.393,5899812.041,552643,,525101,0,0,0,2,0,North,2021/2022,PURIRI ROAD,KOHIWI ROAD,,Non-Injury Crash,No,2021,0,North,0,0,0,Flat,0,,0,,0,Dark,769900,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Strong wind
1822201.638,5529839.828,552644,,562800,0,,0,1,,East,2021/2022,BROADWAY AVENUE,AMESBURY STREET,,Non-Injury Crash,No,2021,,West,,0,,Flat,,,,,,Bright sun,1831400,0,0,0,2,,,0,,,,,,Manawatū-Whanganui Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,40,Palmerston North City,Nil,,,,,0,0,Urban,1,,,Fine,Null
1769591.892,5907394.217,552646,,523713,0,,0,2,,East,2021/2022,ORMISTON ROAD,MICHAEL JONES DRIVE,,Non-Injury Crash,No,2021,,East,,0,,Flat,,,,,,Overcast,712302,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,60,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1767398.07,5904928.042,552647,,524603,0,,0,1,,Null,2020/2021,CAVENDISH DRIVE,GREAT SOUTH ROAD,,Non-Injury Crash,No,2021,,North,,0,,Flat,,,,,,Unknown,780205,0,0,0,1,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,60,,Null,0,0,,76,Auckland,Give way,,,,,0,0,Urban,1,,,Null,Null
1756581.324,5876097.688,552648,,526106,0,0,0,1,0,East,2021/2022,WAIUKU ROAD,MASTERS ROAD,,Non-Injury Crash,No,2021,0,West,0,0,1,Hill Road,0,,0,,0,Overcast,833102,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,60,0,None,0,0,,13,Waikato District,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1758166.931,5915832.686,552649,,519300,0,,0,1,,Null,2020/2021,MANUKAU ROAD,KING GEORGE AVENUE,,Non-Injury Crash,No,2021,,South,,0,,Flat,,,,,,Unknown,622900,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,1,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Null,Null
1867020.877,5713176.012,552652,,541720,0,0,0,1,0,Null,2021/2022,ROBERTS STREET,ROBERTS STREET,,Non-Injury Crash,No,2021,0,East,0,0,0,Flat,0,,0,,0,Bright sun,1274300,0,0,0,2,0,0,0,0,1,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,1,0,,21,Taupo District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1626013.106,5433335.636,552654,,582100,0,,0,1,,Null,2021/2022,ATAWHAI DRIVE,MALVERN AVENUE,,Serious Crash,Yes,2022,,South,,0,,Flat,,,,,,Bright sun,2316700,0,0,0,3,,,0,,,,,,Nelson Region,Nil,2-way,Sealed,,0,1,,100,,Off,0,0,,52,Nelson City,Give way,,,,,0,0,Open,1,,,Fine,Null
1568945.229,5200845.791,552655,,586129,0,0,0,1,0,South,2021/2022,LINESIDE ROAD,POWER ROAD,,Non-Injury Crash,Yes,2021,0,East,0,0,0,Flat,0,,0,,0,Dark,2449600,0,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,0,0,,59,Waimakariri District,Nil,0,0,0,1,0,0,Open,0,0,0,Fine,Null
1768574.31,5903140.726,552657,,524602,0,0,0,1,0,South,2021/2022,SOUTHERN MOTORWAY,SOUTHERN MOTORWAY,,Non-Injury Crash,Yes,2021,0,North,0,0,0,Hill Road,2,,0,,0,Dark,780508,0,0,0,3,0,0,0,0,0,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,0,0,100,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Heavy rain,Null
1246724.268,4999541.886,552658,,609031,0,,0,1,,Null,2021/2022,GLENORCHY-QUEENSTOWN ROAD,FISHERMANS LANE,,Non-Injury Crash,No,2021,,East,,0,,Flat,,,,,,Overcast,3039517,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,70,Queenstown-Lakes District,Nil,,,,,0,0,Open,1,,,Fine,Null
