X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1867208.1749,5707909.0928,241514,,541316,0,0,0,1,0,North,2019/2020,EAST TAUPO ARTERIAL,ANZAC MEMORIAL DRIVE,,Minor Crash,Yes,2019,0,South,0,0,0,Flat,0,,0,,1,Overcast,1280003,1,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,0,0,,21,Taupo District,Nil,1,0,0,0,0,0,Open,0,0,0,Fine,Null
1573549.7531,5180807.8564,241515,,593600,0,0,0,1,0,Null,2019/2020,WOODHAM ROAD,GLOUCESTER STREET,,Minor Crash,No,2019,0,East,0,0,0,Flat,0,,0,,0,Bright sun,2611800,1,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,1,0,,60,Christchurch City,Traffic Signals,0,1,0,0,0,0,Urban,0,0,0,Fine,Null
1790671.892,5837943.3326,241516,,527111,0,,0,3,,South,2019/2020,01N-0519,TREGOWETH LANE,,Minor Crash,Yes,2019,,North,,0,,Flat,,,,,,Overcast,941002,1,0,0,3,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,100,,Off,1,0,,13,Waikato District,Unknown,,,,,0,0,Open,0,,,Fine,Null
1773754.8989,5897566.4056,241517,,525630,0,0,0,2,0,West,2018/2019,FERNAIG ST,COSGRAVE ROAD,,Non-Injury Crash,No,2019,0,West,0,0,0,Flat,0,,0,,0,Dark,795700,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1753194.1242,5912386.1083,241518,,518901,0,,0,1,,North,2018/2019,GRIFFEN PARK ROAD,HILLSBOROUGH ROAD,,Non-Injury Crash,No,2019,,North,,0,,Flat,,Queens Birthday,,,,Dark,585800,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Light rain,Null
1749203.5154,5429047.3484,241519,,572900,0,0,0,1,0,South,2018/2019,THORNDON QUAY,MOORE ST,,Non-Injury Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Dark,2121500,0,0,0,2,0,0,0,0,1,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,47,Wellington City,Unknown,1,1,0,0,0,0,Urban,1,0,0,Fine,Null
1756312.2521,5918978.0305,241520,,515500,0,,0,1,,South,2019/2020,NORTH-WESTERN MOTORWAY,NEWTON OBR,,Non-Injury Crash,Yes,2019,,North,,0,,Flat,,,,,,Overcast,417600,0,0,0,2,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,80,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,1,,,Fine,Null
1712003.7549,5635638.6741,241521,,553601,0,0,0,2,0,South,2019/2020,003-0287,CLIFFORD ROAD,,Serious Crash,Yes,2019,0,North,0,0,0,Hill Road,0,,0,,0,Dark,1634101,0,0,0,2,0,0,0,0,1,,0,0,Taranaki Region,Nil,2-way,Sealed,0,0,1,0,50,0,None,0,0,,35,South Taranaki District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1620840.4165,5429831.752,241522,,583000,0,,0,4,,South,2019/2020,TAHUNANUI DRIVE,MURITAI STREET,,Non-Injury Crash,Yes,2019,,North,,0,,Flat,,,,,,Bright sun,2333100,0,0,0,2,,,0,,,,,,Nelson Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,52,Nelson City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1567836.4866,5180232.9901,241523,,590800,0,,0,0,,North,2019/2020,CLARENCE STREET,NELSON STREET,,Non-Injury Crash,No,2019,,North,,0,,Flat,,,,,,Overcast,2473500,0,0,0,4,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Off,2,0,,60,Christchurch City,Unknown,,,,,0,0,Urban,0,,,Fine,Strong wind
1782084.5364,5745385.6605,241524,,531720,0,0,0,1,0,East,2018/2019,003-0088,TROOPERS ROAD,,Minor Crash,Yes,2019,0,North,1,0,1,Flat,0,,0,,0,Dark,1017800,1,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,20,Waitomo District,Unknown,0,0,0,0,0,0,Open,0,0,0,Mist or Fog,Frost
1936832.0408,5618985.0466,241525,,545632,0,0,0,1,0,South,2018/2019,SH 51,MARINE PARADE,,Non-Injury Crash,Yes,2019,0,South,0,0,0,Flat,1,,0,,0,Overcast,1402700,0,0,0,2,0,0,0,0,0,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,31,Napier City,Give way,1,0,0,0,0,0,Open,1,1,0,Fine,Null
1773775.6732,5473409.1561,241526,,563706,0,0,0,1,0,East,2018/2019,KAPANUI ROAD,RIMU ST,,Non-Injury Crash,No,2019,0,West,0,0,0,Flat,0,,0,,0,Bright sun,1875109,0,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,43,Kapiti Coast District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1241070.7551,4854340.6296,241527,,609912,0,0,0,1,0,West,2018/2019,WEST PLAINS ROAD,SUSSEX STREET,,Non-Injury Crash,No,2019,0,West,0,0,0,Flat,0,,0,,0,Dark,3081600,0,0,0,2,0,0,0,0,0,,0,0,Southland Region,Nil,2-way,Sealed,0,0,0,0,80,1,None,0,0,,75,Invercargill City,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1628895.4223,6123557.2518,241528,,500202,0,,0,1,,North,2018/2019,010-0095,ARAWHATA ROAD,,Non-Injury Crash,Yes,2019,,South,,0,,Hill Road,,,,,,Bright sun,2700,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,0,,100,,None,1,0,,1,Far North District,Unknown,,,,,0,0,Open,0,,,Fine,Null
1926787.7473,5788037.9058,241529,,542530,0,0,0,1,0,South,2019/2020,BRAEMAR ROAD,JOHNS ROAD,,Non-Injury Crash,No,2019,0,South,0,0,0,Flat,0,,0,,0,Dark,1325904,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,100,1,None,0,0,,25,Whakatane District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Strong wind
1766795.4308,5906502.0297,241530,,522302,0,0,0,1,0,North,2018/2019,MORRIS AVE,TUI ROAD,,Non-Injury Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Unknown,669900,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1622576.8568,6111962.1039,241531,,500204,0,0,0,1,1,North,2018/2019,KAITAIA-AWAROA ROAD,OKAHU ROAD,,Non-Injury Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Dark,9101,0,0,0,2,0,0,0,0,0,,0,1,Northland Region,Nil,2-way,Sealed,0,0,0,0,70,0,None,0,0,,1,Far North District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1526683.2779,5184663.0041,241532,,586900,0,0,0,0,0,East,2018/2019,077-0079,PIAKO DRIVE,,Non-Injury Crash,Yes,2019,0,East,0,0,1,Flat,0,,0,,0,Bright sun,2468906,0,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,80,0,Off,1,0,,62,Selwyn District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1765926.4488,5907831.5899,241533,,522301,0,,0,3,,North,2018/2019,01N-0431/11.17-D,EAST TAMAKI ROAD ON RAMP,,Non-Injury Crash,Yes,2019,,North,,0,,Flat,,,,,,Overcast,666700,0,0,0,3,,,0,,,,,,Auckland Region,Motorway ramp,1-way,Sealed,,0,0,,100,,Off,0,0,,76,Auckland,Unknown,,,,,0,0,Open,0,,,Fine,Null
1405056.9775,4914795.3689,241534,,604210,0,0,0,2,0,West,2018/2019,01S-0707-D,SOUTH ROAD ON RAMP,,Non-Injury Crash,Yes,2019,0,East,0,0,0,Flat,1,,0,,0,Dark,2915300,0,0,0,2,0,0,0,0,0,,0,0,Otago Region,Nil,1-way,Sealed,0,0,0,0,80,0,On,0,0,,71,Dunedin City,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
